Bound State (Ptolemy BOUND): E=-4.143 MeV, kappa=0.43368 fm^-1, L=2, J=2.5, mu=0.948826 AMU
  Bracket V=[70,72] for n=0
  Final V=71.4187 MeV (n=0 node(s))
  BS: maxAmp=0.277105  kappa=0.43368 fm^-1
21.93750  3.438381e-06
22.01875  3.303572e-06
22.10000  3.174115e-06
22.18125  3.049795e-06
22.26250  2.930404e-06
22.34375  2.815746e-06
22.42500  2.705629e-06
22.50625  2.599870e-06
22.58750  2.498296e-06
22.66875  2.400738e-06
22.75000  2.307035e-06
22.83125  2.217033e-06
22.91250  2.130584e-06
22.99375  2.047545e-06
23.07500  1.967780e-06
23.15625  1.891158e-06
23.23750  1.817554e-06
23.31875  1.746847e-06
23.40000  1.678922e-06
23.48125  1.613667e-06
23.56250  1.550978e-06
23.64375  1.490751e-06
23.72500  1.432888e-06
23.80625  1.377296e-06
23.88750  1.323884e-06
23.96875  1.272566e-06
24.05000  1.223258e-06
24.13125  1.175881e-06
24.21250  1.130359e-06
24.29375  1.086618e-06
24.37500  1.044587e-06
24.45625  1.004198e-06
24.53750  9.653879e-07
24.61875  9.280928e-07
24.70000  8.922533e-07
24.78125  8.578118e-07
24.86250  8.247133e-07
24.94375  7.929047e-07
25.02500  7.623353e-07
25.10625  7.329562e-07
25.18750  7.047206e-07
25.26875  6.775835e-07
25.35000  6.515016e-07
25.43125  6.264335e-07
25.51250  6.023394e-07
25.59375  5.791810e-07
25.67500  5.569216e-07
25.75625  5.355260e-07
25.83750  5.149602e-07
25.91875  4.951918e-07
26.00000  4.761896e-07
26.08125  4.579235e-07
26.16250  4.403647e-07
26.24375  4.234856e-07
26.32500  4.072597e-07
26.40625  3.916613e-07
26.48750  3.766661e-07
26.56875  3.622504e-07
26.65000  3.483917e-07
26.73125  3.350682e-07
26.81250  3.222591e-07
26.89375  3.099444e-07
26.97500  2.981047e-07
27.05625  2.867217e-07
27.13750  2.757775e-07
27.21875  2.652551e-07
27.30000  2.551381e-07
27.38125  2.454108e-07
27.46250  2.360580e-07
27.54375  2.270652e-07
27.62500  2.184185e-07
27.70625  2.101044e-07
27.78750  2.021100e-07
27.86875  1.944230e-07
27.95000  1.870314e-07
28.03125  1.799239e-07
28.11250  1.730894e-07
28.19375  1.665174e-07
28.27500  1.601978e-07
28.35625  1.541207e-07
28.43750  1.482770e-07
28.51875  1.426574e-07
28.60000  1.372535e-07
28.68125  1.320569e-07
28.76250  1.270596e-07
28.84375  1.222540e-07
28.92500  1.176326e-07
29.00625  1.131884e-07
29.08750  1.089146e-07
29.16875  1.048046e-07
29.25000  1.008522e-07
29.33125  9.705133e-08
29.41250  9.339614e-08
29.49375  8.988107e-08
29.57500  8.650076e-08
29.65625  8.325006e-08
29.73750  8.012401e-08
29.81875  7.711786e-08
29.90000  7.422702e-08
29.98125  7.144709e-08
